Name,Overall,Position
H. Mkhitaryan,83.0,WM
Marcos Alonso,83.0,FB
D. Subašić,83.0,GK
K. Glik,83.0,CB
K. Strootman,83.0,CDM
B. Dost,83.0,ST
Oscar,83.0,CM
M. Balotelli,83.0,ST
Luiz Gustavo,83.0,CB
Giuliano,83.0,CAM
David Luiz,83.0,CB
R. Fährmann,83.0,GK
Juan Mata,83.0,WM
Adán,83.0,GK
Rui Patrício,83.0,GK
Y. Sommer,83.0,GK
Javi Martínez,83.0,CDM
L. Bender,83.0,FB
Lucas Leiva,83.0,CDM
S. Mandanda,83.0,GK
Cesc Fàbregas,83.0,CM
M. Dembélé,83.0,CM
F. Ribéry,83.0,WM
R. Jarstein,83.0,GK
D. De Rossi,83.0,CDM
Pepe Reina,83.0,GK
J. Pavlenka,82.0,GK
M. de Ligt,82.0,CB
Rodri,82.0,CM
Arthur,82.0,CM
G. Donnarumma,82.0,GK
Rosberto Dourado,82.0,CM
Juiano Mestres,82.0,CB
Raphaelito Anjos,82.0,GK
Gelson Martins,82.0,WM
Gonçalo Guedes,82.0,WM
L. Torreira,82.0,CM
Malcom,82.0,FW
Pau López,82.0,GK
L. Hernández,82.0,FB
C. Lenglet,82.0,CB
A. Kramarić,82.0,CM
A. Robertson,82.0,FB
Dani García,82.0,CM
F. Bernardeschi,82.0,WM
J. Brandt,82.0,WM
D. Rugani,82.0,CB
Samu Castillejo,82.0,WM
João Cancelo,82.0,FB
A. Romagnoli,82.0,CB
T. Partey,82.0,CDM
Fred,82.0,CM
J. Vardy,82.0,ST
A. Belotti,82.0,ST
E. Forsberg,82.0,WM
J. Lingard,82.0,CAM
F. Vázquez,82.0,CM
E. Višća,82.0,WM
A. Rüdiger,82.0,CB
A. Florenzi,82.0,FB
H. Maguire,82.0,CB
T. Meunier,82.0,WM
S. Sané,82.0,CB
G. Kondogbia,82.0,CM
Rafinha,82.0,CAM
Gabriel Paulista,82.0,CB
Morata,82.0,ST
J. Cillessen,82.0,GK
W. Ben Yedder,82.0,ST
C. Bakambu,82.0,ST
Pablo Sarabia,82.0,CM
W. Zaha,82.0,ST
Luis Alberto,82.0,CF
Jonathan Viera,82.0,CF
Bartra,82.0,CB
S. Coates,82.0,CB
Willian José,82.0,ST
Mário Fernandes,82.0,FB
Víctor Ruiz,82.0,CB
T. Delaney,82.0,CM
K. Casteels,82.0,GK
M. Götze,82.0,CM
S. Mustafi,82.0,CB
J. Pastore,82.0,CAM
Pedro,82.0,FW
G. Bonaventura,82.0,CM
R. Bürki,82.0,GK
Taison,82.0,WM
S. Nzonzi,82.0,CDM
Marlos,82.0,WM
A. Ramsey,82.0,CAM
K. Trippier,82.0,FB
A. Kolarov,82.0,FB
G. Sigurðsson,82.0,CAM
S. Giovinco,82.0,CF
M. Arnautović,82.0,ST
N. Gaitán,82.0,CAM
J. Henderson,82.0,CM
M. Kruse,82.0,ST
M. Parolo,82.0,CDM
L. Fejsa,82.0,CDM
A. Rami,82.0,CB
V. Ćorluka,82.0,CB
G. Wijnaldum,82.0,CAM
F. Fazio,82.0,CB
O. Giroud,82.0,ST
Marcano,82.0,CB
A. Guardado,82.0,CM
E. Garay,82.0,CB
Jardel,82.0,CB
S. Sirigu,82.0,GK
E. Viviano,82.0,GK
L. Koscielny,82.0,CB
A. Consigli,82.0,GK
L. Biglia,82.0,CDM
Dani Alves,82.0,FB
David Villa,82.0,ST
Aduriz,82.0,ST
P. Čech,82.0,GK
Casillas,82.0,GK
M. Rashford,81.0,FW
Laure Santeiro,81.0,CAM
L. Bailey,81.0,WM
M. Akanji,81.0,CB
F. de Jong,81.0,CDM
Nélson Semedo,81.0,FB
Pablo Fornals,81.0,CAM
Fabián,81.0,WM
E. Bailly,81.0,CB
Dani Ceballos,81.0,CM
H. Lozano,81.0,ST
Morales,81.0,ST
J. Seri,81.0,CDM
M. Politano,81.0,WM
M. Brozović,81.0,CDM
Williams,81.0,FW
A. Correa,81.0,WM
A. Christensen,81.0,CB
João Mário,81.0,CAM
T. Strakosha,81.0,GK
E. Hysaj,81.0,FB
P. Zieliński,81.0,CM
Ricardo Pereira,81.0,FB
Grimaldo,81.0,FB
R. Guerreiro,81.0,WM
A. Doucouré,81.0,CDM
J. Martínez,81.0,ST
C. Bacca,81.0,ST
A. Plea,81.0,FW
B. Davies,81.0,FB
M. Nastasić,81.0,CB
A. Milik,81.0,CF
M. Sabitzer,81.0,WM
B. Mendy,81.0,FB
C. Kramer,81.0,CDM
S. Vrsaljko,81.0,FB
T. Hazard,81.0,FW
K. Bellarabi,81.0,WM
S. Zaza,81.0,ST
F. Ghoulam,81.0,FB
B. Lecomte,81.0,GK
J. Iličić,81.0,CAM
K. Volland,81.0,ST
Paco Alcácer,81.0,ST
Vitolo,81.0,WM
G. Xhaka,81.0,CDM
D. Tadić,81.0,WAM
C. Aránguiz,81.0,CDM
S. Verdi,81.0,FW
D. Lovren,81.0,CB
G. Medel,81.0,CB
X. Shaqiri,81.0,CAM
J. Corona,81.0,WM
A. Areola,81.0,GK
K. Vogt,81.0,CB
Ander Herrera,81.0,CM
E. Salvio,81.0,FW
S. El Shaarawy,81.0,WM
C. Smalling,81.0,CB
Hulk,81.0,CM
S. Kagawa,81.0,CAM
M. Lanzini,81.0,CAM
F. Smolov,81.0,ST
L. Stindl,81.0,CF
O. Toprak,81.0,CB
D. Perotti,81.0,FW
F. Muslera,81.0,GK
B. Höwedes,81.0,CB
S. Kjær,81.0,CB
S. Bender,81.0,CB
M. Valbuena,81.0,WM
Pedro León,81.0,WM
K. Boateng,81.0,CM
L. Piszczek,81.0,FB
A. Candreva,81.0,WM
D. Wass,81.0,FB
E. Lamela,81.0,WM
D. Rose,81.0,FB
C. Vela,81.0,FW
Renato Augusto,81.0,CM
A. Valencia,81.0,WM
L. Fabiański,81.0,GK
João Moutinho,81.0,CM
Borja Valero,81.0,CAM
F. Quagliarella,81.0,ST
B. Gomis,81.0,ST
Manuel Fernandes,81.0,WM
H. Herrera,81.0,CM
Raffael,81.0,CF
Nani,81.0,WM
J. Milner,81.0,CM
J. Mathieu,81.0,CB
Joaquín,81.0,ST
M. Gómez,80.0,ST
K. Havertz,80.0,CAM
T. Ndombele,80.0,CM
H. Aouar,80.0,WM
Carlos Soler,80.0,WM
Odriozola,80.0,FB
M. Almirón,80.0,CAM
Welington Dano,80.0,FB
Everton Andrão,80.0,CDM
Oyarzabal,80.0,CAM
F. Balbuena,80.0,CB
M. Marega,80.0,ST
B. Pavard,80.0,FB
W. Ndidi,80.0,CDM
A. Onana,80.0,GK
G. Lo Celso,80.0,CM
M. Acuña,80.0,FB
Rúben Neves,80.0,CM
Mariano,80.0,ST
Raúl,80.0,CB
M. Caldara,80.0,CB
M. Vecino,80.0,WM
T. Bakayoko,80.0,CM
M. Dahoud,80.0,CM
Rafa,80.0,FW
K. Baldé,80.0,WM
G. Rulli,80.0,GK
F. Armani,80.0,GK
Rony Lopes,80.0,WM
Santi Mina,80.0,ST
K. Demirbay,80.0,CM
Gayà,80.0,FB
André Gomes,80.0,CDM
N. Tagliafico,80.0,FB
M. Sanson,80.0,CDM
Pacheco,80.0,GK
E. Can,80.0,CM
H. Çalhanoğlu,80.0,CAM
M. Ginter,80.0,FB
M. Keane,80.0,CB
L. Paredes,80.0,CM
T. Stepanenko,80.0,CDM
L. Shaw,80.0,FB
Z. Feddal,80.0,CB
S. Haller,80.0,ST
Bernard,80.0,WM
T. Inui,80.0,WM
Portu,80.0,WM
M. Batshuayi,80.0,ST
E. Zahavi,80.0,ST
T. Vaclík,80.0,GK
N. Pope,80.0,GK
Héctor Bellerín,80.0,FB
P. Kadeřábek,80.0,FB
J. Butland,80.0,GK
J. Vestergaard,80.0,CB
J. Tarkowski,80.0,CB
Deulofeu,80.0,ST
E. Dier,80.0,CDM
J. Murillo,80.0,CB
M. Badelj,80.0,CDM
Ismaily,80.0,FB
N. Schulz,80.0,FB
L. Digne,80.0,FB
M. Uth,80.0,ST
Cristian Tello,80.0,WM
D. Vida,80.0,CB
L. Muriel,80.0,ST
V. Aboubakar,80.0,ST
A. Oxlade-Chamberlain,80.0,CM
S. Aurier,80.0,FB
J. Matip,80.0,CB
Y. Rakitskyi,80.0,CB
Sergi Enrich,80.0,ST
A. Yarmolenko,80.0,WM
Hugo Mallo,80.0,FB
André Almeida,80.0,FB
D. Didavi,80.0,CAM
R. Rodríguez,80.0,FB
R. Pereyra,80.0,WM
Mario Gaspar,80.0,FB
Maicon,80.0,CB
D. Blind,80.0,FB
J. Zoet,80.0,GK
A. Ljajić,80.0,CAM
Canales,80.0,CM
Iago Falqué,80.0,FW
L. de Jong,80.0,ST
Guaita,80.0,GK
Muniain,80.0,CAM
Susaeta,80.0,FW
S. Rudy,80.0,CDM
K. Trapp,80.0,GK
V. Wanyama,80.0,CDM
N. Nkoulou,80.0,CB
R. Boudebouz,80.0,CAM
Camacho,80.0,CDM
S. Ulreich,80.0,GK
M. Musacchio,80.0,CB
C. Stuani,80.0,ST
P. Gulácsi,80.0,GK
Bruno,80.0,CM
F. Delph,80.0,FB
A. Lallana,80.0,CM
Marcelo,80.0,CB
S. Coleman,80.0,FB
Alexandre Pato,80.0,ST
Antunes,80.0,FB
Nacho Monreal,80.0,FB
Beñat,80.0,CM
A. Fernández,80.0,CDM
K. Gameiro,80.0,ST
I. Piatti,80.0,FW
V. Birsa,80.0,CAM
S. Romero,80.0,GK
D. Criscito,80.0,CB
D. Valeri,80.0,CF
D. Sturridge,80.0,ST
Raúl García,80.0,CAM
S. Defour,80.0,CM
M. Škrtel,80.0,CB
S. Radu,80.0,CB
G. Cahill,80.0,CB
L. Diarra,80.0,CDM
L. Perrin,80.0,CB
Dante,80.0,CB
A. Granqvist,80.0,CB
A. Gignac,80.0,ST
M. Gómez,80.0,ST
I. Akinfeev,80.0,GK
I. Denisov,80.0,CDM
Juanfran,80.0,FB
Diego López,80.0,GK
Santi Cazorla,80.0,CM
Jesús Navas,80.0,WM
J. Mascherano,80.0,CDM
A. Mirante,80.0,GK
D. Srna,80.0,FB
B. Schweinsteiger,80.0,CB
Moyá,80.0,GK
W. Rooney,80.0,ST
Fernando Torres,80.0,ST
S. Sorrentino,80.0,GK
V. Tsygankov,79.0,WM
Rúben Dias,79.0,CB
David Neres,79.0,FW
Raphinha,79.0,WM
A. Harit,79.0,CM
Richarlison,79.0,ST
L. Martínez,79.0,ST
F. Kessié,79.0,CM
Luimo Boas Santos,79.0,ST
Gabri Prestão,79.0,GK
Melvin Parrela,79.0,CM
Antônio Chiamuloira,79.0,CB
Maikel Catarino,79.0,FB
A. Lunev,79.0,GK
André Silva,79.0,ST
C. Pulisic,79.0,WM
M. Dmitrović,79.0,GK
L. Tousart,79.0,CDM
Marcos Llorente,79.0,CDM
B. Verbič,79.0,WM
S. Bergwijn,79.0,FW
A. Diallo,79.0,CB
A. Golovin,79.0,CAM
M. Campaña,79.0,GK
C. Pavón,79.0,FW
K. Toko-Ekambi,79.0,ST
Granell,79.0,FB
F. Cervi,79.0,FW
J. Weigl,79.0,CDM
V. Lindelöf,79.0,CB
A. Rebić,79.0,CAM
A. Sanabria,79.0,ST
R. Battaglia,79.0,CM
M. Philipp,79.0,ST
A. Saint-Maximin,79.0,ST
D. Zappacosta,79.0,FB
L. Alario,79.0,ST
D. Benedetto,79.0,ST
I. Marcone,79.0,CDM
J. Gbamin,79.0,CM
J. Lerma,79.0,CM
Ricardo Horta,79.0,WM
R. Zobnin,79.0,CDM
M. Meyer,79.0,WM
Bruma,79.0,FW
R. Centurión,79.0,WM
Jonny,79.0,FB
Otávio,79.0,WM
J. Hofmann,79.0,CAM
N. Aké,79.0,CB
J. Hector,79.0,FB
S. Kolašinac,79.0,FB
G. Pizarro,79.0,CDM
Roger,79.0,ST
Sergio Rico,79.0,GK
L. Milivojević,79.0,CM
D. Baselli,79.0,CDM
K. Rekik,79.0,CB
Denis Suárez,79.0,CM
W. Orban,79.0,CB
Mário Rui,79.0,FB
Iñigo Martínez,79.0,CB
K. Zouma,79.0,CB
Roque Mesa,79.0,CDM
J. Brooks,79.0,CB
L. Karius,79.0,GK
Zé Luís,79.0,ST
D. Klaassen,79.0,CM
M. Elyounoussi,79.0,WM
L. Bittencourt,79.0,WM
Sergi Darder,79.0,CM
J. Roussillon,79.0,FB
D. Demme,79.0,CDM
J. Gouweleeuw,79.0,CB
M. Rojo,79.0,CB
J. Veretout,79.0,CDM
L. Kurzawa,79.0,FB
G. Ramírez,79.0,CAM
David López,79.0,CB
C. Tătăruşanu,79.0,GK
A. Mandi,79.0,CB
D. Sidibé,79.0,FB
Y. Konoplyanka,79.0,FW
S. Berghuis,79.0,FW
H. Vanaken,79.0,CAM
Campaña,79.0,CDM
M. van Ginkel,79.0,CM
Nolito,79.0,WM
M. Gregoritsch,79.0,CAM
Ibai Gómez,79.0,WM
Danilo,79.0,FB
R. Barkley,79.0,CAM
M. Ryan,79.0,GK
Sergio León,79.0,ST
B. Stambouli,79.0,CB
J. Guilavogui,79.0,CDM
Sérgio Oliveira,79.0,CM
D. Caligiuri,79.0,FB
C. Wilson,79.0,ST
P. Jones,79.0,CB
Borja García,79.0,WM
Y. Belhanda,79.0,CAM
G. Pezzella,79.0,CB
Jaume Costa,79.0,FB
C. Tosun,79.0,ST
Escudero,79.0,WM
Kike García,79.0,ST
Elkeson,79.0,ST
Ricardo Goulart,79.0,CF
J. Guðmundsson,79.0,WM
N. Clyne,79.0,FB
M. Hitz,79.0,GK
De Marcos,79.0,FB
B. Mee,79.0,CB
Rafael,79.0,FB
Iborra,79.0,CDM
J. Wilshere,79.0,CM
B. Hübner,79.0,CB
Souza,79.0,CDM
F. Coquelin,79.0,CM
Alex Teixeira,79.0,ST
A. Dzagoev,79.0,CDM
I. Smolnikov,79.0,FB
Y. M'Vila,79.0,CDM
K. Asamoah,79.0,FB
R. Zieler,79.0,GK
D. Drinkwater,79.0,CM
N. Kalinić,79.0,ST
Mariano,79.0,FB
S. Feghouli,79.0,WM
Adrien Silva,79.0,CM
Fernando,79.0,CDM
I. Traoré,79.0,WM
G. Mercado,79.0,CB
N. Petersen,79.0,ST
O. Karnezis,79.0,GK
M. Sakho,79.0,CB
Sidnei,79.0,CB
S. Jovetić,79.0,ST
Eder,79.0,ST
J. Hernández,79.0,ST
Fabricio,79.0,GK
Kiko Casilla,79.0,GK
Ángel,79.0,ST
M. Schneiderlin,79.0,CDM
M. Fellaini,79.0,CM
P. Wernbloom,79.0,CDM
D. Ospina,79.0,GK
S. Mignolet,79.0,GK
A. Begović,79.0,GK
N. Şahin,79.0,CDM
R. Bertrand,79.0,FB
A. Masiello,79.0,CB
T. Walcott,79.0,WM
Charles,79.0,ST
T. Heaton,79.0,GK
H. Ben Arfa,79.0,CAM
D. Abraham,79.0,CB
E. Lavezzi,79.0,CAM
S. Kalou,79.0,WM
J. Farfán,79.0,CAM
R. Babel,79.0,WM
A. Young,79.0,FB
J. Hart,79.0,GK
L. López,79.0,ST
D. Baier,79.0,CDM
B. Yılmaz,79.0,ST
R. Adler,79.0,GK
S. Lichtsteiner,79.0,FB
E. Adebayor,79.0,ST
E. Belözoğlu,79.0,CM
Loren,78.0,ST
Éder Militão,78.0,CB
F. Chiesa,78.0,FW
M. Lazzari,78.0,WM
A. Hakimi,78.0,FB
S. Nakajima,78.0,FW
L. Jović,78.0,ST
S. Ascacíbar,78.0,CDM
A. Lafont,78.0,GK
T. Alexander-Arnold,78.0,FB
F. Krovinović,78.0,CAM
Sidney Pessinho,78.0,CDM
Everticinho,78.0,FB
Claudio Coíntra,78.0,CAM
Ronaldo Esler,78.0,FB
P. Lees-Melou,78.0,CM
B. Chilwell,78.0,FB
João Novais,78.0,CAM
D. Calabria,78.0,FB
F. Mendy,78.0,FB
L. Pellegrini,78.0,CM
Soares,78.0,ST
Daniel Podence,78.0,WM
M. Díaz,78.0,GK
G. Martínez,78.0,CAM
M. Eggestein,78.0,CM
Trezeguet,78.0,WM
N. Amiri,78.0,CAM
Vallejo,78.0,CB
J. Gomez,78.0,CB
Diogo Jota,78.0,FW
Joan Jordán,78.0,CM
Dyego Sousa,78.0,ST
A. Marušić,78.0,WM
David Soria,78.0,GK
V. Rongier,78.0,CM
W. Weghorst,78.0,ST
O. Al Soma,78.0,ST
M. Nakamba,78.0,CM
Petros,78.0,CDM
Pablo Maffeo,78.0,FB
Y. Mina,78.0,CB
M. Dúbravka,78.0,GK
Diego Carlos,78.0,CB
D. Djené,78.0,CB
G. Simeone,78.0,ST
M. Meza,78.0,WM
Bastos,78.0,CB
S. Lobotka,78.0,CM
Y. Tielemans,78.0,CM
Marcelo Goiano,78.0,FB
K. Tete,78.0,FB
Capa,78.0,FB
M. Sportiello,78.0,GK
Jemerson,78.0,CB
N. Maksimović,78.0,CB
D. Zapata,78.0,ST
J. Correa,78.0,WM
E. Rigoni,78.0,WM
C. Izquierdoz,78.0,CB
W. Barrios,78.0,CDM
J. Mojica,78.0,FB
A. Selikhov,78.0,GK
A. Iwobi,78.0,WM
D. Laxalt,78.0,FB
N. Bentaleb,78.0,CM
N. Stark,78.0,CB
M. Lemina,78.0,CM
L. Dendoncker,78.0,CB
Ricardo Esgaio,78.0,WM
P. Sisto,78.0,FW
P. Max,78.0,FB
R. Gagliardini,78.0,CDM
Pere Pons,78.0,CM
D. Berardi,78.0,FW
M. Halstenberg,78.0,FB
J. Quintero,78.0,CAM
Tiago Volpi,78.0,GK
Óliver Torres,78.0,CM
Omar Mascarell,78.0,CDM
H. Sakai,78.0,FB
Andreas Pereira,78.0,CM
A. Januzaj,78.0,FW
B. Cristante,78.0,CM
Matheus,78.0,GK
B. Traoré,78.0,WM
Y. Poulsen,78.0,FW
L. Trossard,78.0,WM
M. Arnold,78.0,CM
M. De Sciglio,78.0,FB
Leo Baptistao,78.0,FW
V. Chiricheş,78.0,CB
L. Pavoletti,78.0,ST
A. Cragno,78.0,GK
L. Castro,78.0,CM
N. Füllkrug,78.0,ST
F. Fajr,78.0,CM
R. Jiménez,78.0,ST
E. Sala,78.0,ST
S. García,78.0,ST
S. Arias,78.0,FB
B. Reynet,78.0,GK
Pozuelo,78.0,CAM
A. Trebel,78.0,CM
J. Lascelles,78.0,CB
T. Kongolo,78.0,CB
A. Carrillo,78.0,WM
Álvaro,78.0,CB
G. Defrel,78.0,ST
Fernando,78.0,CDM
V. Darida,78.0,CM
R. Saponara,78.0,CAM
Pedro Mendes,78.0,CB
C. Schindler,78.0,CB
N. Chadli,78.0,WM
Arbilla,78.0,CB
L. Dunk,78.0,CB
P. Hernández,78.0,CM
J. Guidetti,78.0,ST
Sergi Gómez,78.0,CB
Oriol Romeu,78.0,CDM
Lucas Pérez,78.0,ST
B. Natcho,78.0,CM
Cláudio Ramos,78.0,GK
F. Lejeune,78.0,CB
G. Krychowiak,78.0,CM
N. Lodeiro,78.0,CAM
O. Özyakup,78.0,CDM
C. Tévez,78.0,CAM
K. Papadopoulos,78.0,CB
M. Gradel,78.0,FW
M. Debuchy,78.0,FB
V. Moses,78.0,FW
Z. Junuzović,78.0,CM
Granero,78.0,CM
J. Baumgartlinger,78.0,CDM
Fábio Coentrão,78.0,FW
B. Costil,78.0,GK
Hilton,78.0,CB
N. Gudelj,78.0,CDM
L. Pratto,78.0,ST
E. Hernández,78.0,WM
Jurado,78.0,CM
R. Cabella,78.0,CAM
Rafael Tolói,78.0,CB
C. Bravo,78.0,GK
Hernanes,78.0,CDM
K. Honda,78.0,WM
A. Dzyuba,78.0,ST
J. Holebas,78.0,FB
Javi García,78.0,CDM
Sergio,78.0,GK
M. Cáceres,78.0,CB
Daniel Carriço,78.0,CB
J. Cork,78.0,CM
J. Tomkins,78.0,CB
Guilherme,78.0,GK
Gervinho,78.0,FW
J. Shelvey,78.0,CM
R. Eremenko,78.0,CAM
R. Vormer,78.0,CM
J. Lens,78.0,WM
Adriano,78.0,FB
S. Cook,78.0,CB
L. Podolski,78.0,CF
C. Ansaldi,78.0,WM
Manu García,78.0,CM
R. Alessandrini,78.0,WM
J. Ward-Prowse,77.0,WM
M. Harnik,77.0,ST
B. Moukandjo,77.0,CAM
G. Pereiro,77.0,WM
G. Castro,77.0,CM
Aarón Martín,77.0,FB
F. Johnson,77.0,WM
L. López,77.0,CB
M. Dossevi,77.0,WM
Caiuby,77.0,WM
Gabriel,77.0,CM
Iván Ramis,77.0,CB
M. Suchý,77.0,CB
T. Vilhena,77.0,CM
E. Çolak,77.0,CAM
V. Germain,77.0,ST
G. Hoarau,77.0,ST
Sergio García,77.0,FW
E. Choupo-Moting,77.0,ST
J. Pinola,77.0,CB
J. Hendrix,77.0,CM
J. Izquierdo,77.0,WM
S. Sydorchuk,77.0,CM
C. Grenier,77.0,CDM
T. Strobl,77.0,CDM
V. Odjidja-Ofoe,77.0,CM
N. Guzmán,77.0,GK
F. Fabra,77.0,FB
J. Maddison,77.0,CAM
K. El Ahmadi,77.0,CDM
M. Carcela-González,77.0,WM
M. Gabbiadini,77.0,ST
Gomes,77.0,GK
M. Ritchie,77.0,WM
G. Bou,77.0,ST
Javi Fuego,77.0,CDM
E. Akbaba,77.0,CAM
J. Amavi,77.0,FB
R. Malinovskyi,77.0,CM
D. Welbeck,77.0,FW
G. Conti,77.0,CB
Bruno,77.0,CB
Garry Rodrigues,77.0,WM
A. Schwolow,77.0,GK
L. Cook,77.0,CM
P. Pérez,77.0,CM
Gazzolisco,77.0,FB
Jonatan Soriano,77.0,ST
Rubén Peña,77.0,FB
Mikel San José,77.0,CM
P. Groß,77.0,CAM
L. Baines,77.0,FB
A. Ogbonna,77.0,CB
Juan Jesus,77.0,CB
J. Martínez,77.0,ST
N. Elvedi,77.0,CB
G. Moreno,77.0,CAM
J. Valdivia,77.0,CAM
A. Carroll,77.0,ST
Luís Neto,77.0,CB
A. Pyatov,77.0,GK
T. Gutiérrez,77.0,ST
Álex Remiro,77.0,GK
Wilson Eduardo,77.0,ST
Jorge Meré,77.0,CB
M. Elneny,77.0,CDM
D. Torres,77.0,CDM
Y. Bounou,77.0,GK
A. Prijović,77.0,ST
